order_id,weight (lbs),volume (in3)
21652,902.0,3828.8
21653,468.6,2443.6
21654,2200.0,12653.9
21655,261.8,758.6
21656,330.0,889.7
21657,838.2,4745.2
21658,330.0,889.7
21659,459.8,2665.5
21660,294.8,2952.6
21661,99.0,1647.6
21662,1122.0,12448.8
21663,701.8,3519.1
21664,231.0,1408.9
21665,165.0,3280.6
21666,770.0,4018.0
21667,231.0,1408.9
21668,770.0,3331.9
21669,830.0,207360.0
21670,20.0,27648.0
21671,792.0,9373.2
21672,22.0,843.6
21673,52.0,20096.0
21674,52.0,20096.0
21675,11.0,10512.0
21676,264.0,2466.9
21677,130.0,14580.0
21678,114.0,20100.0
21679,1445.4,8553.4
21680,935.0,2249.6
21681,468.6,3604.7
21682,110.0,1265.4
21683,605.0,2265.5
21684,290.4,1546.6
21685,778.8,5849.1
21686,376.2,2366.3
21687,39.6,144.5
21688,9961.6,50615.5
21689,913.0,6326.9
21690,871.2,4047.0
21691,440.0,76.3
21692,569.8,4499.2
21693,110.0,1265.4
21694,81.4,1589.1
21695,33.0,1038.0
21696,561.0,846.7
21697,550.0,1286.4
21698,228.8,237.3
21699,4613.4,13570.0
21700,55.0,1269.3
21701,475.2,2343.3
21702,484.0,3515.0
21703,1872.2,7095.4
21704,660.0,4229.7
21705,154.0,2636.2
21706,495.0,1922.2
21707,220.0,2283.6
21708,132.0,2484.6
21709,717.2,3045.0
21710,237.6,6.6
21711,259.6,7.2
21712,1848.0,4510.9
21713,385.0,1080.9
21714,653.4,2793.8
21715,580.8,1965.9
21716,270.6,1503.2
21717,580.8,1965.9
21718,541.2,1524.9
21719,299.2,742.5
21720,1469.6,3161.0
21721,1322.2,4691.4
21722,286.0,1665.9
21723,1355.2,7381.4
21724,1221.0,7597.9
21725,299.2,742.5
21726,517.0,3414.0
21727,11950.4,28133.5
21728,249.0,45753.0
21729,40.0,21952.0
21730,435.0,87912.0
21731,1678.0,320544.0
21732,335.0,52728.0
21733,728.2,4448.6
21734,1250.0,518400.0
21735,737.0,3217.7
21736,297.0,1076.5
21737,904.2,14059.9
21738,580.8,1952.1
21739,2904.0,24713.2
21740,301.4,2667.3
21741,330.0,256.3
21742,1658.8,14059.9
21743,356.4,1850.2
21744,255.2,1382.5
21745,330.0,1237.6
21746,17.6,169.8
21747,323.4,4097.5
21748,17.6,169.8
21749,1368.4,21089.8
21750,1430.0,4477.3
21751,1320.0,10272.4
21752,8.8,147.7
21753,473.0,2066.0
21754,121.0,1206.1
21755,360.8,1002.1
21756,224.4,336.1
21757,622.6,6234.1
21758,983.4,5513.4
21759,550.0,4131.6
21760,275.0,1031.3
21761,140.0,23232.0
21762,396.0,122.0
21763,660.0,7381.4
21764,45.0,31200.0
21765,180.0,53912.0
21766,450.0,43516.0
21767,1742.4,8682.5
21768,385.0,1249.8
21769,550.0,1286.4
21770,915.2,5557.0
21771,272.8,2812.0
21772,10579.8,33650.0
21773,10489.6,50615.5
21774,77.0,474.5
21775,567.6,5676.7
21776,444.4,2792.0
21777,398.2,2087.0
21778,721.6,5331.0
21779,440.0,2709.5
21780,440.0,2709.5
21781,371.8,2366.3
21782,330.0,5228.5
21783,308.0,978.7
21784,3797.2,15590.0
21785,440.0,3783.5
21786,1474.0,3979.5
21787,990.0,2655.5
21788,451.0,1634.5
21789,404.8,1270.8
21790,310.2,2077.7
21791,2145.0,6579.0
21792,1078.0,3499.3
21793,281.6,2164.9
21794,63.8,1116.7
21795,264.0,411.9
21796,565.4,2792.0
21797,781.0,4800.1
21798,1181.4,5876.6
21799,484.0,6453.3
21800,120.0,78400.0
21801,160.0,17576.0
21802,413.6,949.0
21803,200.0,8000.0
21804,838.0,160272.0
21805,200.0,8000.0
21806,125.0,5000.0
21807,25.0,36000.0
21808,736.0,45792.0
21809,413.6,949.0
21810,330.0,1921.5
21811,120.0,3240.0
21812,600.0,137760.0
21813,741.4,5292.1
21814,1016.4,2305.2
21815,286.0,2343.3
21816,286.0,2343.3
21817,314.6,3220.8
21818,990.0,1722.3
21819,125.4,743.3
21820,1617.0,5249.0
21821,308.0,2660.9
21822,231.0,749.9
21823,510.4,3046.3
21824,528.0,2870.3
21825,330.0,874.8
21826,264.0,584.4
21827,1038.4,5272.5
21828,836.0,7826.3
21829,451.0,2505.3
21830,220.0,3661.4
21831,2200.0,4218.0
21832,349.8,1792.6
21833,853.6,3161.0
21834,73.0,22272.0
21835,225.0,39780.0
21836,3291.2,15008.9
21837,246.0,120360.0
21838,556.6,2792.0
21839,554.4,3374.4
21840,165.0,3327.0
21841,1038.4,5536.1
21842,215.6,274.6
21843,992.2,5623.4
21844,547.8,2792.0
21845,88.0,2689.0
21846,210.0,39150.0
21847,785.4,4103.6
21848,231.0,697.1
21849,308.0,929.5
21850,492.8,2275.5
21851,660.0,4668.3
21852,838.2,3588.2
21853,396.0,1906.2
21854,130.0,48000.0
21855,396.0,1906.2
21856,2200.0,12917.5
21857,1434.4,5331.0
21858,180.0,33048.0
21859,308.0,1417.7
21860,154.0,2471.5
21861,532.4,1551.0
21862,79774.2,50615.5
21863,374.0,7170.5
21864,356.4,1281.5
21865,1056.0,3171.7
21866,99.0,445.8
21867,2310.0,4378.5
21868,154.0,4435.2
21869,9970.4,50615.5
21870,468.6,2385.7
21871,462.0,2788.5
21872,44.0,1196.1
21873,695.2,717.6
21874,444.4,2792.0
21875,506.0,4027.6
21876,468.6,3413.0
21877,1049.4,1843.5
21878,88.0,1265.4
21879,1067.0,5702.1
21880,1848.0,10149.5
21881,2778.6,19310.8
21882,2420.0,14831.2
21883,1348.6,2553.7
21884,2875.4,8039.5
21885,1174.8,1841.0
21886,114.0,31488.0
21887,95.0,91000.0
21888,704.0,437.4
21889,4316.4,18192.7
21890,2340.8,8104.2
21891,1848.0,10149.5
21892,288.2,3327.0
21893,171.6,3243.8
21894,374.0,9846.5
21895,312.4,4797.9
21896,1344.2,7845.8
21897,2156.0,6998.7
21898,105.6,1933.2
21899,220.0,2109.0
21900,3104.2,4783.0
21901,1038.4,7073.9
21902,574.2,2697.6
21903,550.0,406.4
21904,297.0,617.9
21905,1848.0,10149.5
21906,451.0,2792.0
21907,233.2,1053.5
21908,1640.0,276480.0
21909,908.0,91507.0
21910,429.0,2123.6
21911,759.0,4237.5
21912,297.0,1076.5
21913,277.2,2003.5
21914,2860.0,4686.6
21915,242.0,622.4
21916,1826.0,19899.5
21917,266.2,1946.5
21918,1100.0,6458.8
21919,222.2,1178.6
21920,1056.0,3171.7
21921,946.0,5529.7
21922,1469.6,3161.0
21923,2420.0,10046.9
21924,259.6,366.1
21925,451.0,2505.3
21926,275.0,2768.0
21927,488.4,2792.0
21928,72.0,41800.0
21929,3520.0,19068.7
21930,2708.2,12230.9
21931,2591.6,7777.4
21932,1168.0,423654.0
21933,1100.0,6458.8
21934,242.0,1435.8
21935,1764.4,5584.1
21936,580.8,1514.0
21937,1100.0,1423.6
21938,1405.8,10828.1
21939,1848.0,10149.5
21940,1984.4,7371.7
21941,55.0,2196.9
21942,246.4,843.6
21943,3916.0,16039.7
21944,264.0,749.9
21945,924.0,4447.8
21946,293.0,70658.0
21947,196.0,95776.0
21948,168.0,31680.0
21949,270.0,91840.0
21950,924.0,4447.8
21951,1412.4,4455.2
21952,133.0,14700.0
21953,379.0,92160.0
21954,14.0,11448.0
21955,271.0,36094.0
21956,106.0,23916.0
21957,105.0,19575.0
21958,385.0,3224.3
21959,1089.0,1265.4
21960,204.6,1305.3
21961,536.8,3097.6
21962,363.0,2819.3
21963,743.6,3280.6
21964,462.0,5562.9
21965,1038.4,9560.7
21966,1023.0,5827.6
21967,149.6,1423.6
21968,847.0,7841.6
21969,1520.0,441040.0
21970,218.0,72465.0
21971,1183.6,6067.3
21972,125.0,35632.0
21973,422.4,515.7
21974,734.0,194040.0
21975,96.0,28248.0
21976,137.0,23472.0
21977,44.0,20736.0
21978,131.0,14112.0
21979,167.0,20661.0
21980,134.2,5122.1
21981,605.0,68470.0
21982,638.0,3573.1
21983,1760.0,3316.3
21984,310.2,1309.0
21985,572.0,878.1
21986,83.6,40407.5
21987,440.0,3465.1
21988,39.6,790.9
21989,330.0,2965.8
21990,41.8,603.0
21991,2569.6,9138.9
21992,154.0,2089.2
21993,1430.0,26378.4
21994,528.0,6629.6
21995,41.8,603.0
21996,1696.2,15524.7
21997,154.0,1230.2
21998,409.2,6293.1
21999,99.0,1245.6
